time,open,high,low,close,tick_volume,spread,real_volume
2025-03-13 23:30:00+00:00,3.852,3.85671,3.8504,3.8504,39,350,0
2025-03-13 23:35:00+00:00,3.8504,3.85642,3.8504,3.85115,22,350,0
2025-03-13 23:40:00+00:00,3.85586,3.8563,3.85115,3.85115,20,350,0
2025-03-13 23:45:00+00:00,3.85115,3.85623,3.85115,3.85115,21,350,0
2025-03-13 23:50:00+00:00,3.85115,3.85621,3.85115,3.85115,20,350,0
2025-03-13 23:55:00+00:00,3.85611,3.85657,3.85115,3.8513,40,350,0
2025-03-14 09:30:00+00:00,3.8544,3.8575,3.8535399999999997,3.8562,718,350,0
2025-03-14 09:35:00+00:00,3.85615,3.85741,3.85488,3.85729,306,350,0
2025-03-14 09:40:00+00:00,3.85729,3.8607,3.8569,3.86045,455,350,0
2025-03-14 09:45:00+00:00,3.8604000000000003,3.8614,3.85875,3.8588,416,350,0
2025-03-14 09:50:00+00:00,3.8588,3.8595,3.85815,3.85815,351,350,0
2025-03-14 09:55:00+00:00,3.85815,3.8590999999999998,3.85785,3.85855,434,350,0
2025-03-14 10:00:00+00:00,3.85855,3.86035,3.85674,3.85701,486,350,0
2025-03-14 10:05:00+00:00,3.85701,3.85701,3.8527,3.8529,569,350,0
2025-03-14 10:10:00+00:00,3.85295,3.85445,3.8481,3.8494,523,350,0
2025-03-14 10:15:00+00:00,3.8494,3.8502,3.849,3.84943,417,350,0
2025-03-14 10:20:00+00:00,3.84943,3.8498,3.84533,3.8466,452,350,0
2025-03-14 10:25:00+00:00,3.84665,3.8471,3.8449,3.84532,420,350,0
2025-03-14 10:30:00+00:00,3.84535,3.84883,3.8441,3.8483,568,350,0
2025-03-14 10:35:00+00:00,3.84825,3.84965,3.84795,3.8491999999999997,457,350,0
2025-03-14 10:40:00+00:00,3.8491999999999997,3.85125,3.8487999999999998,3.851,391,350,0
2025-03-14 10:45:00+00:00,3.85095,3.8515,3.8503,3.85095,382,350,0
2025-03-14 10:50:00+00:00,3.8512,3.8522499999999997,3.84847,3.8485,375,350,0
2025-03-14 10:55:00+00:00,3.8485,3.849,3.84535,3.8464,438,350,0
2025-03-14 11:00:00+00:00,3.84635,3.85205,3.8461499999999997,3.85009,406,350,0
2025-03-14 11:05:00+00:00,3.85004,3.8513,3.84964,3.8512,331,350,0
2025-03-14 11:10:00+00:00,3.8512,3.8517200000000003,3.85,3.8516,378,350,0
2025-03-14 11:15:00+00:00,3.8514,3.85369,3.85135,3.8522499999999997,421,350,0
2025-03-14 11:20:00+00:00,3.8522499999999997,3.85385,3.8518499999999998,3.85324,402,350,0
