symbol,direction,entry_time,exit_time,entry_price,exit_price,position_size,pnl,exit_reason,entry_tag,exit_tag,tp1_price,tp1_time,tp1_exit_reason,tp2_price,tp2_time,tp1_pnl,pnl_points,pnl_usd,capital
GBPUSD,short,2025-02-13 07:30:00+00:00,2025-02-13 09:00:00+00:00,1.24899,1.2499655389381656,0.513,-0.0009755389381655988,auto,__support,auto,,,,,,,-0.0009755389381655988,-40.06849336495506,9635.191030008544
GBPUSD,short,2025-02-13 10:25:00+00:00,2025-02-13 17:00:00+00:00,1.24886,1.2488532206411107,0.073,0.0017185732524376274,auto,__support,auto,1.24709,2025-02-13 15:30:00+00:00,RR_1:2,,,0.0001292100000000036,0.0017185732524376274,10.04562940825607,9645.236659416802
GBPUSD,short,2025-02-13 17:00:00+00:00,2025-02-13 17:10:00+00:00,1.24856,1.2505760503727674,0.248,-0.0020160503727675305,auto,__support,auto,,,,,,,-0.0020160503727675305,-40.04457074120167,9605.1920886756
GBPUSD,short,2025-02-13 18:35:00+00:00,2025-02-13 21:05:00+00:00,1.25273,1.2527189756524209,0.123,0.0010236368474613178,auto,__support,auto,1.25109,2025-02-13 20:45:00+00:00,RR_1:2,,,0.00020171999999998324,0.0010236368474613178,10.05063599001717,9615.242724665617
GBPUSD,short,2025-02-14 12:05:00+00:00,2025-02-14 15:30:00+00:00,1.25785,1.2600774513201134,0.224,-0.0022274513201134827,auto,__support,auto,,,,,,,-0.0022274513201134827,-39.666820026666144,9575.57590463895
GBPUSD,short,2025-02-17 00:20:00+00:00,2025-02-17 03:35:00+00:00,1.25826,1.2595731801321894,0.381,-0.0013131801321895065,auto,__support,auto,,,,,,,-0.0013131801321895065,-39.76297667923974,9535.81292795971
GBPUSD,short,2025-02-17 21:35:00+00:00,2025-02-18 03:20:00+00:00,1.26269,1.26049,0.237,0.0016273650618543467,RR_1:4,__support,RR_1:4,1.26216,2025-02-18 00:15:00+00:00,RR_1:2,"{'level': 1.2605805397525827, 'tag': 'RR_1:4'}",2025-02-18 03:20:00+00:00,0.00012561000000003351,0.0016273650618543467,30.544751257987322,9566.357679217697
GBPUSD,short,2025-02-19 01:20:00+00:00,2025-02-19 13:50:00+00:00,1.26222,1.2581,0.114,0.0031577002764778817,RR_1:4,__support,RR_1:4,1.25993,2025-02-19 12:10:00+00:00,RR_1:2,"{'level': 1.2578291988940882, 'tag': 'RR_1:4'}",2025-02-19 13:50:00+00:00,0.00026105999999998897,0.0031577002764778817,28.51942066505669,9594.877099882755
GBPUSD,long,2025-02-19 13:55:00+00:00,2025-02-19 18:00:00+00:00,1.25837,1.2583761524980226,0.179,0.0007016152838917877,BE after TP1,__resistance,BE after TP1,1.2598,2025-02-19 17:35:00+00:00,RR_1:2,,,0.0002559700000000076,0.0007016152838917877,9.980302758062413,9604.857402640817
GBPUSD,long,2025-02-19 18:30:00+00:00,2025-02-19 19:05:00+00:00,1.25787,1.2563842443100026,0.337,-0.0014857556899974256,auto,__resistance,auto,,,,,,,-0.0014857556899974256,-39.80535886292959,9565.052043777887
GBPUSD,long,2025-02-19 19:15:00+00:00,2025-02-20 08:20:00+00:00,1.25711,1.2599,0.175,0.0021088512239697543,RR_1:4,__resistance,RR_1:4,1.25876,2025-02-19 21:20:00+00:00,RR_1:2,"{'level': 1.2599654048958788, 'tag': 'RR_1:4'}",2025-02-20 08:20:00+00:00,0.00028875000000002645,0.0021088512239697543,29.356934889922677,9594.40897866781
